H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn
1.000000000000000000e+00 3.336736983440953264e-01 1.267381425350662190e-09 9.531563308447165729e-21 9.347804052998244053e-11 9.933159643019380362e-04 2.302527494208741706e-04 2.366025472617726104e-03 5.903713319644609852e-08 3.331102355414578258e-04 6.556757703201501557e-06 1.430396587275619693e-04 6.016732089742821814e-06 3.988169174840791868e-04 7.234992339733499646e-06 2.517357539895375275e-04 5.488127057814075128e-06 4.511028788134769377e-05 1.598779193603614588e-06 2.687171379279732375e-05 1.159741927380156794e-08 1.569650357583257571e-06 1.759979839413530074e-07 2.877840988058058845e-05 5.549057006621188604e-06 7.981249470976927969e-04 5.017853050115568754e-06 9.620768270287068525e-05 4.543529241767240618e-07 1.247402798501549276e-06
1.000000000000000000e+00 3.247843860700151408e-01 1.131910135081092191e-09 1.011409997305809557e-20 1.091902166306731000e-11 4.650812282169829648e-04 7.531956929355434322e-05 1.245206604129313853e-03 2.085365007755478359e-08 1.135162386993882739e-04 1.726281912542471158e-06 6.542033508168489976e-05 1.659816347172826994e-06 2.205394318400397309e-04 1.912466624947754860e-06 1.312407455508512772e-04 1.386519850618212703e-06 2.361848611521713079e-05 5.907231286589889358e-07 1.575151395527123074e-05 5.117200622720122585e-09 9.284262762787743191e-07 7.712077381735622476e-08 7.302715630655153440e-06 2.367229073696598071e-06 3.902948603903355434e-04 2.774265984828019721e-06 6.130332462882447867e-05 2.824062224018239126e-07 1.166792003141410768e-06
1.000000000000000000e+00 3.269491915135838145e-01 1.148418378306994211e-09 1.375486513189983185e-20 1.924958273482738915e-11 5.845736794105860744e-04 1.042384542621562795e-04 1.528617599141840651e-03 2.809315221272285280e-08 1.506888659179454791e-04 2.447166116319600733e-06 8.199747695551283955e-05 2.339574264065059582e-06 2.639369835035277928e-04 2.712377670284080197e-06 1.574009746001154317e-04 2.010764652351713889e-06 2.838331388310243790e-05 7.753554917086447353e-07 1.851070939648676470e-05 6.508426900352507026e-09 1.096704665679578453e-06 9.910640919668898023e-08 9.994988234139068735e-06 3.072083834201956162e-06 4.886467622180587674e-04 3.382103285868502415e-06 7.074723901841009090e-05 3.261695737255610653e-07 1.217576746388902607e-06
1.000000000000000000e+00 3.318189862308328353e-01 1.223143695717427183e-09 9.357984480062258577e-21 6.658169516016931538e-11 8.775343771545866594e-04 1.939311063819351049e-04 2.133324221104111827e-03 4.990899249506202260e-08 2.756996763280519574e-04 5.218950967966128358e-06 1.250874063324743579e-04 4.852602599071766276e-06 3.558603680103805222e-04 5.751554074891899618e-06 2.199723590990697081e-04 4.345356025941865884e-06 3.973653635312579269e-05 1.330682990102957644e-06 2.417751763503203551e-05 9.951630257766085239e-09 1.415177889908454445e-06 1.543458317313631010e-07 2.221939551901349808e-05 4.863106123609914915e-06 7.109034345706516335e-04 4.548021774188331754e-06 8.754283355768065309e-05 4.067281451290962228e-07 1.176853558394750595e-06
1.000000000000000000e+00 3.254307390554095902e-01 1.133826081269306700e-09 9.394966543494201410e-21 1.383614344286062597e-11 5.010176281532117146e-04 8.588839535413661020e-05 1.327416397570841799e-03 2.346466129322029691e-08 1.249393233396703233e-04 1.971435056510983202e-06 7.013817001542294873e-05 1.887677928974117245e-06 2.331543872561370266e-04 2.191543868864790567e-06 1.390583863312746789e-04 1.625540631477752042e-06 2.504881361548538010e-05 6.650014908297419252e-07 1.654165548652400004e-05 5.782104065968456374e-09 9.787480365414061175e-07 8.500252372742300162e-08 8.124986662454523206e-06 2.631652750159808072e-06 4.251968142023216930e-04 2.976277009853118160e-06 6.374922290225325749e-05 2.959458822930627496e-07 1.172753268491966383e-06
1.000000000000000000e+00 3.327166486819496116e-01 1.234771675469433873e-09 1.042155741761752028e-20 6.987439407457975774e-11 9.259438853644862957e-04 2.027760339562984101e-04 2.256862430386058060e-03 5.231550236396167659e-08 2.904492401584072908e-04 5.489263474328623759e-06 1.319945899859938944e-04 5.088337026921827127e-06 3.786876265851411958e-04 6.062326480221509160e-06 2.344246951293234369e-04 4.573898911926933057e-06 4.225260745471861456e-05 1.405590133463342515e-06 2.576648090895750331e-05 1.051072249758432474e-08 1.509221636760580757e-06 1.625917802998500078e-07 2.368987670050055300e-05 5.105225382251137446e-06 7.496588182180883870e-04 4.819416621107196272e-06 9.363382376596432596e-05 4.362811875531559292e-07 1.291777328591409189e-06
1.000000000000000000e+00 3.325806277624501206e-01 1.243478090846421146e-09 7.648554903360040842e-21 7.810743687762102199e-11 9.254407145840073392e-04 2.096697930301455676e-04 2.227048951999730051e-03 5.377062588976792511e-08 3.003581432536815135e-04 5.796055465221757456e-06 1.325391362364907160e-04 5.353496084137736296e-06 3.727236034002652347e-04 6.391521372631489898e-06 2.326307539832785901e-04 4.835655228475481030e-06 4.188046726377091461e-05 1.442761849337786542e-06 2.521249235051407615e-05 1.061459402392550840e-08 1.473317981646043512e-06 1.636677880047900032e-07 2.528403996241815433e-05 5.153318619407638157e-06 7.463896818027136509e-04 4.727236178388459450e-06 9.075729803555207390e-05 4.244601610948009652e-07 1.196176825426502243e-06
1.000000000000000000e+00 3.355562650302570948e-01 1.272832863875287361e-09 1.139873997975682423e-20 1.001661616555037503e-10 1.094022623849194142e-03 2.499849515899863579e-04 2.629955037275842795e-03 6.435181415694589411e-08 3.611456003214043482e-04 7.053106025161173017e-06 1.578010914688184160e-04 6.498136797771416682e-06 4.436879775071536267e-04 7.773509288632047523e-06 2.788856835081317503e-04 5.876517366057568676e-06 4.995635737374642770e-05 1.729781555036239508e-06 2.996224857015925981e-05 1.279119737744225389e-08 1.751558653991262256e-06 1.886893496052281209e-07 2.852739443057280110e-05 5.994941953644787754e-06 8.715364135424210224e-04 5.549882940839418499e-06 1.082072210608964110e-04 5.154602684485154375e-07 1.466635276767003500e-06
1.000000000000000000e+00 3.306283504529402562e-01 1.194744645026726478e-09 9.626882258671114814e-21 4.782762900522641072e-11 8.005427059392862012e-04 1.663298398371411825e-04 1.992433061453812576e-03 4.327034802177192454e-08 2.353958376825456759e-04 4.266573555732551197e-06 1.132252053139830604e-04 4.007221910456198822e-06 3.337598284096232755e-04 4.709667189358396024e-06 2.031120513571971708e-04 3.544731344280413125e-06 3.676428694235803993e-05 1.156368884568121567e-06 2.288991367188408571e-05 8.960389767337063576e-09 1.346998909004703300e-06 1.392982035600203093e-07 1.763156247929889065e-05 4.370966818458102386e-06 6.549777889414311197e-04 4.300508471866874349e-06 8.424366762534624175e-05 3.889609998109697595e-07 1.216901550199337196e-06
1.000000000000000000e+00 3.306957013068762552e-01 1.194968930974286258e-09 8.824785402188887741e-21 4.591414770781810370e-11 8.019682798615427027e-04 1.640638333432367201e-04 2.006131521079527590e-03 4.278824117400886997e-08 2.333770153924546163e-04 4.194019617637330781e-06 1.133959115522717697e-04 3.938969145169746344e-06 3.373250806151555830e-04 4.634271587935974151e-06 2.049748100590583714e-04 3.478521363876642589e-06 3.707400878777488784e-05 1.148483997309501992e-06 2.318832577432394530e-05 8.937343693772391688e-09 1.365308230195369710e-06 1.390096065456162983e-07 1.739418795921653327e-05 4.346582987767189329e-06 6.557143089644933706e-04 4.334841695656030973e-06 8.576410981970793439e-05 3.959639058861327664e-07 1.269967403345363429e-06
1.000000000000000000e+00 3.229088455661919821e-01 1.121569455197345273e-09 1.302770627641944192e-20 6.551265669844282339e-12 3.659406162914702050e-04 5.356425975478641005e-05 9.937642003044267532e-04 1.532891539387263379e-08 8.663333132161187868e-05 1.230109930980315387e-06 5.191758767547200424e-05 1.196747029516345715e-06 1.778266506115087475e-04 1.349189254321207937e-06 1.054894769250758131e-04 9.310489312814961558e-07 1.897049181545737445e-05 4.247199369563687941e-07 1.284691949516670357e-05 3.604799735943057821e-09 7.501830028433322558e-07 5.803301897959102273e-08 5.481009458901730016e-06 1.772510607985897871e-06 3.014431176686050914e-04 2.185331288190776445e-06 5.061037310564784990e-05 2.291130219646901829e-07 9.999874277723790433e-07
1.000000000000000000e+00 3.281391599636699907e-01 1.160425127275343692e-09 1.109936672065299443e-20 2.704736314922847735e-11 6.530391218385512989e-04 1.244576714833141469e-04 1.677354942784695623e-03 3.296995255604358738e-08 1.760455649879453979e-04 2.984943726315565522e-06 9.164545302134375314e-05 2.841280348078438726e-06 2.846922002120786505e-04 3.299905207902085315e-06 1.705056511403369021e-04 2.471832282792697258e-06 3.081828535517221928e-05 8.938851116552176966e-07 1.976299366747291409e-05 7.333443367039724673e-09 1.169633856421033592e-06 1.120943712483188723e-07 1.202149700948646930e-05 3.509832363542684294e-06 5.435864047567752792e-04 3.673512560447724138e-06 7.444441709118955605e-05 3.431560693808903260e-07 1.193365732186268766e-06
1.000000000000000000e+00 3.366296419858715860e-01 1.287215316054420716e-09 8.048474064829140883e-21 1.312054550497728777e-10 1.171554297216322081e-03 2.863413082403821813e-04 2.753788181402042328e-03 7.344827735109169830e-08 4.093950258897721033e-04 8.298679029910486626e-06 1.711665298980933887e-04 7.664150292840992679e-06 4.624738705012141639e-04 9.064165720091080315e-06 2.952697882843524743e-04 6.901710211365279792e-06 5.287283482555893345e-05 1.943292976434599504e-06 3.098796706250671351e-05 1.428961702392965311e-08 1.799535946195084225e-06 1.992103970014679404e-07 3.058457757224100095e-05 6.509524289015827247e-06 9.248525341833592093e-04 5.730897243606454312e-06 1.097561292016131914e-04 5.343779380721009623e-07 1.369921879885812300e-06
1.000000000000000000e+00 3.432447727798298431e-01 1.305028762248270337e-09 9.246021921529051630e-21 1.972598900808941283e-10 1.554099233285397268e-03 3.994864147657821072e-04 3.658499873235498620e-03 1.032493154396236040e-07 5.489397247943926051e-04 1.132490907788041407e-05 2.318556375945885037e-04 1.071378016275220979e-05 6.044958621746476801e-04 1.211156689243447367e-05 3.857097529961628487e-04 9.255417421923520788e-06 6.955691410549588315e-05 2.590211206160404309e-06 4.042685313878784825e-05 2.033470722961143051e-08 2.331359680351834712e-06 2.431208076018338348e-07 3.174746674980263243e-05 8.422988681929565713e-06 1.192790360355912857e-03 7.358315634494619053e-06 1.425751279785789159e-04 7.307816342459462149e-07 1.782576336621400325e-06
1.000000000000000000e+00 3.363465361876715187e-01 1.282489887130007022e-09 9.383127332042860277e-21 1.228963815176020467e-10 1.150337830697795031e-03 2.772309583033614696e-04 2.720515514765952693e-03 7.107298853930178797e-08 3.965987373747682462e-04 7.974277365872598080e-06 1.675768896569448843e-04 7.358256844507426172e-06 4.570263502585385066e-04 8.729319238167156995e-06 2.906033629296429993e-04 6.636797511147280079e-06 5.204496712210867319e-05 1.888750301972293081e-06 3.066196716579581868e-05 1.393106003494032587e-08 1.784409225961466592e-06 1.962787843338660209e-07 2.987070241567768239e-05 6.367675171219644821e-06 9.095329437628457648e-04 5.675885720648176740e-06 1.091579361738380887e-04 5.294443951436364222e-07 1.393074796220650071e-06
1.000000000000000000e+00 3.340767410776153135e-01 1.264813228436294683e-09 6.685234847018889378e-21 8.970029534294201874e-11 1.010352632758587665e-03 2.301459275462436826e-04 2.427133648957439157e-03 5.907545019209861114e-08 3.324498358415417195e-04 6.468846897425295222e-06 1.451777423035960010e-04 5.947545943536225772e-06 4.090262202473059585e-04 7.143594445114000215e-06 2.567780517760386840e-04 5.404597228428355148e-06 4.603461362250329359e-05 1.597969069542017143e-06 2.762818353512594036e-05 1.171892141171695912e-08 1.615559554936289539e-06 1.777893395603149319e-07 2.802541508603932530e-05 5.599342878177319374e-06 8.114568056378768362e-04 5.145000782519534810e-06 9.955991310779475207e-05 4.700559374817412474e-07 1.333560529772829365e-06
